,estimator type,score,,
stdprov_Internal Medicine (NEC)_count,linear,0.333520406,0.477650647,dx_ccs_Respiratory failure; insufficiency; arrest (adult)_count
stdprov_Laboratory_count,linear,0.143725373,0.396190956,dx_ccs_Coagulation and hemorrhagic disorders_count
stdprov_Medical Doctor - MD (NEC)_count,linear,0.35124601,0.36192477,dx_ccs_Other injuries and conditions due to external causes_count
stdprov_Mental Health Facilities_count,linear,0.085322304,0.45299133,dx_ccs_Developmental disorders_count
stdprov_Nephrology_count,linear,0.48201283,0.536863427,stdprov_Treatment Center_count
stdprov_Neurology_count,linear,0.414460325,0.364161811,ANY_EEG_indicator
stdprov_Nuclear Medicine_count,linear,0.186089213,0.199080524,dx_groups_Diabetes_count
stdprov_Nurse Practitioner_count,linear,0.043051432,0.386519893,dx_ccs_Other injuries and conditions due to external causes_count
stdprov_Obstetrics & Gynecology_count,linear,0.229894207,0.392409972,dx_ccs_Other complications of birth; puerperium affecting management of mother_count
stdprov_Optometrist_count,linear,0.000693958,0.199712956,dx_ccs_Blindness and vision defects_count
stdprov_Other Facility (NEC)_count,linear,0.453834174,0.414991043,dx_groups_Psychiatric disorders_count
stdprov_Pathology_count,linear,0.033363476,0.651077392,dx_ccs_Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)_count
stdprov_Physical Medicine & Rehab_count,linear,0.358222118,0.492305771,dx_ccs_Rehabilitation care; fitting of prostheses; and adjustment of devices_count
stdprov_Podiatry_count,linear,0.008121228,0.212937604,dx_charlson_DIABETES_MELLITUS_CHRONIC_COMPLICATED_mean
stdprov_Psychiatry_count,linear,0.106143661,0.330221332,dx_groups_Psychiatric disorders_count
stdprov_Psychologist_count,linear,0.15617412,0.193543958,dx_ccs_Miscellaneous mental health disorders_count
stdprov_Radiology_count,linear,0.368474998,0.3496429,dx_groups_Malignant solid neoplasms_count
stdprov_Special Care Facility (NEC)_count,linear,0,0.551050031,stdprov_Psychiatric Nurse_count
stdprov_Supply Center_count,linear,0.166360078,0.299986377,charlson_index
stdprov_Transportation_count,linear,0.401483985,0.487365563,dx_groups_Renal disorders_count
stdprov_Urology_count,linear,0.182827181,0.232661781,stdprov_Cardiovascular Surgery_count
SEIZURE_FOCAL_ER_indicator,logistic,0.577858617,0.941589177,SEIZURE_FOCAL_ER_count
SEIZURE_GENERALIZED_ER_count,linear,0.129236845,0.872851863,SEIZURE_GENERALIZED_ER_indicator
ANY_EEG_count,linear,0.356591294,0.830302694,ANY_EEG_indicator
SPECIAL_PROC_EP_count,linear,0.09436682,0.732870386,SPECIAL_PROC_DIAGNOSTIC_count
